iter	Passed	Remaining
0	57	57687
1	58	28993
2	58	19396
3	58	14596
4	58	11728
5	59	9805
6	59	8432
7	59	7398
8	59	6597
9	60	5957
10	60	5434
11	60	4995
12	60	4626
13	61	4310
14	61	4037
15	61	3798
16	62	3589
17	62	3402
18	62	3232
19	62	3078
20	63	2941
21	63	2820
22	63	2706
23	64	2602
24	64	2510
25	64	2422
26	64	2339
27	65	2261
28	65	2188
29	65	2121
30	65	2059
31	66	2000
32	66	1945
33	66	1893
34	66	1844
35	67	1798
36	67	1754
37	67	1712
38	67	1672
39	68	1634
40	68	1598
41	68	1564
42	68	1531
43	69	1500
44	69	1470
45	69	1442
46	69	1416
47	70	1391
48	70	1366
49	70	1343
50	70	1320
51	71	1299
52	71	1278
53	71	1261
54	72	1244
55	72	1228
56	73	1211
57	73	1193
58	73	1176
59	74	1159
60	74	1143
61	74	1127
62	74	1112
63	75	1097
64	75	1082
65	75	1068
66	75	1055
67	76	1042
68	76	1029
69	76	1016
70	76	1004
71	76	992
72	77	980
73	77	969
74	77	958
75	77	947
76	78	937
77	79	935
78	79	926
79	79	916
80	79	906
81	80	897
82	80	886
83	80	878
84	80	870
85	81	862
86	81	854
87	81	846
88	81	838
89	82	831
90	82	823
91	82	816
92	82	809
93	83	802
94	83	795
95	83	788
96	83	781
97	84	774
98	84	767
99	84	761
100	84	755
101	85	748
102	85	742
103	85	736
104	85	730
105	85	725
106	86	719
107	86	713
108	86	708
109	87	704
110	87	699
111	87	694
112	87	689
113	88	684
114	88	679
115	88	675
116	88	670
117	89	665
118	89	661
119	89	656
120	89	651
121	89	646
122	90	642
123	90	638
124	90	634
125	90	629
126	90	625
127	91	621
128	91	617
129	91	613
130	91	609
131	92	606
132	92	602
133	92	598
134	92	595
135	93	591
136	93	588
137	93	584
138	93	581
139	94	578
140	94	576
141	94	572
142	94	568
143	95	565
144	95	563
145	95	560
146	96	557
147	96	554
148	96	552
149	96	549
150	97	546
151	97	544
152	97	542
153	98	539
154	98	537
155	98	534
156	99	531
157	99	529
158	99	527
159	99	524
160	100	521
161	100	519
162	100	516
163	100	514
164	101	511
165	101	509
166	101	507
167	102	505
168	102	502
169	102	500
170	102	498
171	103	495
172	103	493
173	103	491
174	103	488
175	103	486
176	104	484
177	104	482
178	104	480
179	104	477
180	105	475
181	105	473
182	105	471
183	105	469
184	106	467
185	106	465
186	106	463
187	106	461
188	107	459
189	107	457
190	107	455
191	107	453
192	108	451
193	108	450
194	108	448
195	108	446
196	109	444
197	109	443
198	109	441
199	109	439
200	110	437
201	110	436
202	110	435
203	111	434
204	111	432
205	111	430
206	111	429
207	112	427
208	112	425
209	112	424
210	112	422
211	113	420
212	113	419
213	113	417
214	113	415
215	114	414
216	114	412
217	114	410
218	114	409
219	115	408
220	115	406
221	115	405
222	115	403
223	116	402
224	116	400
225	116	399
226	116	397
227	117	396
228	117	395
229	117	393
230	117	392
231	118	391
232	118	389
233	118	388
234	118	387
235	119	385
236	119	384
237	119	383
238	119	381
239	120	380
240	120	379
241	120	377
242	120	376
243	121	375
244	121	374
245	121	373
246	121	371
247	122	370
248	122	369
249	122	368
250	122	366
251	123	365
252	123	364
253	123	363
254	123	361
255	124	360
256	124	359
257	124	358
258	124	357
259	125	356
260	125	355
261	125	353
262	125	352
263	126	351
264	126	350
265	127	350
266	127	349
267	127	348
268	127	347
269	128	346
270	128	345
271	128	344
272	128	343
273	129	342
274	129	341
275	129	340
276	129	338
277	130	337
278	130	336
279	130	335
280	130	334
281	131	333
282	131	332
283	131	331
284	131	330
285	131	329
286	132	328
287	132	327
288	132	326
289	133	325
290	133	324
291	133	323
292	133	322
293	134	321
294	134	320
295	134	319
296	134	318
297	134	317
298	135	316
299	135	315
300	135	314
301	135	313
302	136	312
303	136	311
304	136	311
305	136	310
306	136	309
307	137	308
308	137	307
309	137	306
310	137	305
311	138	304
312	138	303
313	138	303
314	138	302
315	139	301
316	139	300
317	139	300
318	140	299
319	140	298
320	140	297
321	141	297
322	141	297
323	142	296
324	142	296
325	142	295
326	143	294
327	143	293
328	143	292
329	143	291
330	143	290
331	144	290
332	144	289
333	144	288
334	144	287
335	145	286
336	145	286
337	145	285
338	145	284
339	146	283
340	146	282
341	146	281
342	146	281
343	147	280
344	147	279
345	147	278
346	147	278
347	148	277
348	148	276
349	148	275
350	148	275
351	149	274
352	149	274
353	149	273
354	150	272
355	150	271
356	150	271
357	150	270
358	151	269
359	151	268
360	151	268
361	151	267
362	152	266
363	152	266
364	152	265
365	152	264
366	153	264
367	153	263
368	153	262
369	153	261
370	154	261
371	154	260
372	154	259
373	154	259
374	155	258
375	155	257
376	155	256
377	155	256
378	155	255
379	156	254
380	156	254
381	156	253
382	156	252
383	157	252
384	157	251
385	157	250
386	157	250
387	158	249
388	158	248
389	158	248
390	158	247
391	159	246
392	159	246
393	159	245
394	160	245
395	160	244
396	160	243
397	160	243
398	161	242
399	161	242
400	161	241
401	161	240
402	162	240
403	162	239
404	162	239
405	162	238
406	163	237
407	163	237
408	163	236
409	164	236
410	164	235
411	164	235
412	164	234
413	165	233
414	165	233
415	165	232
416	166	232
417	166	231
418	166	230
419	166	230
420	167	229
421	167	229
422	167	228
423	167	228
424	168	227
425	168	227
426	168	226
427	169	226
428	169	225
429	169	224
430	170	224
431	170	224
432	170	223
433	170	222
434	171	222
435	171	221
436	171	221
437	171	220
438	172	219
439	172	219
440	172	218
441	172	218
442	173	217
443	173	217
444	173	216
445	173	216
446	174	215
447	174	214
448	174	214
449	174	213
450	175	213
451	175	212
452	175	212
453	176	211
454	176	211
455	176	210
456	176	210
457	177	209
458	177	209
459	177	208
460	177	208
461	178	207
462	178	206
463	178	206
464	179	206
465	179	205
466	179	205
467	179	204
468	180	204
469	180	203
470	180	202
471	180	202
472	181	201
473	181	201
474	181	200
475	181	200
476	182	199
477	182	199
478	182	198
479	183	198
480	183	197
481	183	197
482	183	196
483	184	196
484	184	195
485	184	195
486	185	194
487	185	194
488	185	193
489	185	193
490	186	192
491	186	192
492	186	191
493	186	191
494	187	190
495	187	190
496	187	189
497	187	189
498	188	189
499	188	188
500	188	188
501	189	187
502	189	187
503	189	186
504	189	186
505	190	185
506	190	185
507	190	184
508	191	184
509	191	183
510	191	183
511	191	182
512	192	182
513	192	181
514	192	181
515	192	181
516	193	180
517	193	180
518	193	179
519	194	179
520	194	178
521	194	178
522	195	177
523	195	177
524	195	177
525	195	176
526	196	176
527	196	175
528	196	175
529	197	174
530	197	174
531	197	173
532	197	173
533	198	172
534	198	172
535	198	171
536	198	171
537	199	171
538	199	170
539	199	170
540	199	169
541	200	169
542	200	168
543	200	168
544	200	167
545	201	167
546	201	166
547	201	166
548	202	165
549	202	165
550	202	165
551	202	164
552	203	164
553	203	163
554	203	163
555	203	162
556	204	162
557	204	162
558	204	161
559	205	161
560	205	160
561	205	160
562	205	159
563	206	159
564	206	158
565	206	158
566	206	158
567	207	157
568	207	157
569	207	156
570	208	156
571	208	155
572	208	155
573	208	154
574	209	154
575	209	154
576	209	153
577	210	153
578	210	152
579	210	152
580	210	152
581	211	151
582	211	151
583	211	150
584	211	150
585	212	149
586	212	149
587	212	149
588	213	148
589	213	148
590	213	147
591	213	147
592	214	146
593	214	146
594	214	146
595	214	145
596	215	145
597	215	144
598	215	144
599	215	143
600	216	143
601	216	143
602	216	142
603	217	142
604	217	141
605	217	141
606	218	141
607	218	140
608	218	140
609	218	139
610	219	139
611	219	139
612	219	138
613	220	138
614	220	137
615	220	137
616	220	137
617	221	136
618	221	136
619	221	135
620	221	135
621	222	135
622	222	134
623	222	134
624	223	133
625	223	133
626	223	133
627	223	132
628	224	132
629	224	131
630	224	131
631	225	131
632	225	130
633	225	130
634	226	129
635	226	129
636	226	129
637	226	128
638	227	128
639	227	127
640	227	127
641	228	127
642	228	126
643	228	126
644	228	125
645	229	125
646	229	125
647	229	124
648	230	124
649	230	124
650	230	123
651	230	123
652	231	122
653	231	122
654	231	122
655	232	121
656	232	121
657	232	120
658	232	120
659	233	120
660	233	119
661	233	119
662	233	118
663	234	118
664	234	118
665	234	117
666	234	117
667	235	116
668	235	116
669	235	116
670	236	115
671	236	115
672	236	114
673	236	114
674	237	114
675	237	113
676	237	113
677	237	113
678	238	112
679	238	112
680	238	111
681	238	111
682	239	111
683	239	110
684	239	110
685	240	109
686	240	109
687	240	109
688	241	108
689	241	108
690	241	108
691	241	107
692	242	107
693	242	106
694	242	106
695	243	106
696	243	105
697	243	105
698	243	104
699	243	104
700	244	104
701	244	103
702	244	103
703	245	103
704	245	102
705	245	102
706	245	101
707	246	101
708	246	101
709	246	100
710	247	100
711	247	100
712	247	99
713	247	99
714	248	98
715	248	98
716	248	98
717	248	97
718	249	97
719	249	97
720	249	96
721	250	96
722	250	95
723	250	95
724	250	95
